date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,winner_seed,speed,loser_entry,winner_entry,outcome
2023-01-16,Australian Open,G,5,H,false,R64,Mackenzie Mcdonald,United States,USA,65,27,1900,Rafael Nadal,1,Spain,ESP,2,-22,2286,6-4 6-4 7-5,,,,,
2023-01-16,Australian Open,G,5,H,false,R128,Rafael Nadal,Spain,ESP,2,3,2283,Jack Draper,,United Kingdom,GBR,38,-3,1944,7-5 2-6 6-4 6-1,1,,,,
2023-01-02,United Cup,T,3,H,false,RR,Alex De Minaur,Australia,AUS,24,14,2032,Rafael Nadal,4,Spain,ESP,2,-14,2297,3-6 6-1 7-5,7,68,,,
2023-01-02,United Cup,T,3,H,false,RR,Cameron Norrie,United Kingdom,GBR,14,15,2057,Rafael Nadal,4,Spain,ESP,2,-14,2311,3-6 6-3 6-4,15,68,,,
2022-11-13,Tour Finals,F,3,H,true,RR,Taylor Harry Fritz,United States,USA,9,19,2067,Rafael Nadal,1,Spain,ESP,2,-18,2329,7-6(3) 6-1,8,100,,,
2022-11-13,Tour Finals,F,3,H,true,RR,Felix Auger Aliassime,Canada,CAN,6,17,2119,Rafael Nadal,1,Spain,ESP,2,-18,2347,6-3 6-4,5,100,,,
2022-11-13,Tour Finals,F,3,H,true,RR,Rafael Nadal,Spain,ESP,2,5,2342,Casper Ruud,3,Norway,NOR,4,-4,2108,7-5 7-5,1,100,,,
2022-10-31,Paris Masters,M,3,H,true,R32,Tommy Paul,United States,USA,31,19,1989,Rafael Nadal,2,Spain,ESP,2,-18,2360,3-6 7-6(4) 6-1,,77,,,
2022-08-29,US Open,G,5,H,false,R16,Frances Tiafoe,United States,USA,26,25,1997,Rafael Nadal,2,Spain,ESP,3,-23,2383,6-4 4-6 6-4 6-3,22,62,,,
2022-08-29,US Open,G,5,H,false,R32,Rafael Nadal,Spain,ESP,3,2,2381,Richard Gasquet,,France,FRA,91,-3,1941,6-0 6-1 7-5,2,62,,,
2022-08-29,US Open,G,5,H,false,R64,Rafael Nadal,Spain,ESP,3,1,2380,Fabio Fognini,,Italy,ITA,60,-2,1889,2-6 6-4 6-2 6-1,2,62,,,
2022-08-29,US Open,G,5,H,false,R128,Rafael Nadal,Spain,ESP,3,,2380,Rinky Hijikata,,Australia,AUS,198,-2,1671,4-6 6-2 6-3 6-3,2,62,WC,,
2022-08-14,Cincinnati Masters,M,3,H,false,R32,Borna Coric,Croatia,CRO,189,21,1939,Rafael Nadal,2,Spain,ESP,3,-18,2398,7-6(9) 4-6 6-3,,74,,PR,
2022-06-27,Wimbledon,G,5,G,false,SF,Nick Kyrgios,Australia,AUS,40,12,2124,Rafael Nadal,2,Spain,ESP,4,-12,2410,W/O,,70,,,W/O
2022-06-27,Wimbledon,G,5,G,false,QF,Rafael Nadal,Spain,ESP,4,3,2407,Taylor Harry Fritz,11,United States,USA,14,-4,2075,3-6 7-5 3-6 7-5 7-6(4),2,70,,,
2022-06-27,Wimbledon,G,5,G,false,R16,Rafael Nadal,Spain,ESP,4,2,2405,Botic Van De Zandschulp,21,Netherlands,NED,25,-2,1978,6-4 6-2 7-6(6),2,70,,,
2022-06-27,Wimbledon,G,5,G,false,R32,Rafael Nadal,Spain,ESP,4,2,2403,Lorenzo Sonego,27,Italy,ITA,54,-2,1911,6-1 6-2 6-4,2,70,,,
2022-06-27,Wimbledon,G,5,G,false,R64,Rafael Nadal,Spain,ESP,4,1,2402,Ricardas Berankis,,Lithuania,LTU,106,-2,1838,6-4 6-4 4-6 6-3,2,70,,,
2022-06-27,Wimbledon,G,5,G,false,R128,Rafael Nadal,Spain,ESP,4,1,2401,Francisco Cerundolo,,Argentina,ARG,41,-1,1850,6-4 6-3 3-6 6-4,2,70,,,
2022-05-22,Roland Garros,G,5,C,false,F,Rafael Nadal,Spain,ESP,5,7,2394,Casper Ruud,8,Norway,NOR,8,-7,2170,6-3 6-3 6-0,5,37,,,
2022-05-22,Roland Garros,G,5,C,false,SF,Rafael Nadal,Spain,ESP,5,9,2385,Alexander Zverev,3,Germany,GER,3,-9,2251,7-6(8) 6-6 RET,5,37,,,RET
2022-05-22,Roland Garros,G,5,C,false,QF,Rafael Nadal,Spain,ESP,5,14,2371,Novak Djokovic,1,Serbia,SRB,1,-14,2381,6-2 4-6 6-2 7-6(4),5,37,,,
2022-05-22,Roland Garros,G,5,C,false,R16,Rafael Nadal,Spain,ESP,5,4,2367,Felix Auger Aliassime,9,Canada,CAN,9,-5,2098,3-6 6-3 6-2 3-6 6-3,5,37,,,
2022-05-22,Roland Garros,G,5,C,false,R32,Rafael Nadal,Spain,ESP,5,2,2365,Botic Van De Zandschulp,26,Netherlands,NED,29,-3,1954,6-3 6-2 6-4,5,37,,,
2022-05-22,Roland Garros,G,5,C,false,R64,Rafael Nadal,Spain,ESP,5,2,2363,Corentin Moutet,,France,FRA,139,-1,1869,6-3 6-1 6-4,5,37,WC,,
2022-05-22,Roland Garros,G,5,C,false,R128,Rafael Nadal,Spain,ESP,5,1,2362,Jordan Thompson,,Australia,AUS,82,-1,1829,6-2 6-2 6-2,5,37,,,
2022-05-08,Rome Masters,M,3,C,false,R16,Denis Shapovalov,Canada,CAN,16,18,2026,Rafael Nadal,3,Spain,ESP,4,-18,2380,1-6 7-5 6-2,13,39,,,
2022-05-08,Rome Masters,M,3,C,false,R32,Rafael Nadal,Spain,ESP,4,2,2378,John Isner,,United States,USA,23,-2,1987,6-3 6-1,3,39,,,
2022-05-01,Madrid Masters,M,3,C,false,QF,Carlos Alcaraz Garfia,Spain,ESP,9,17,2156,Rafael Nadal,3,Spain,ESP,4,-16,2394,6-2 1-6 6-3,7,59,,,
2022-05-01,Madrid Masters,M,3,C,false,R16,Rafael Nadal,Spain,ESP,4,1,2393,David Goffin,,Belgium,BEL,55,-1,1926,6-3 5-7 7-6(9),3,59,Q,,
2022-05-01,Madrid Masters,M,3,C,false,R32,Rafael Nadal,Spain,ESP,4,1,2392,Miomir Kecmanovic,,Serbia,SRB,38,-1,1974,6-1 7-6(4),3,59,,,
2022-03-10,Indian Wells Masters,M,3,H,false,F,Taylor Harry Fritz,United States,USA,20,22,2069,Rafael Nadal,4,Spain,ESP,4,-21,2413,6-3 7-6(5),20,55,,,
