date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,outcome,loser_entry,winner_entry
2021-06-28,Wimbledon,G,5,G,false,69,QF,Hubert Hurkacz,14,Poland,POL,18,24,1996,Roger Federer,6,Switzerland,SUI,8,-22,2283,6-3 7-6(4) 6-0,,,
2021-06-28,Wimbledon,G,5,G,false,69,R16,Roger Federer,6,Switzerland,SUI,8,4,2279,Lorenzo Sonego,23,Italy,ITA,27,-4,1987,7-5 6-4 6-2,,,
2021-06-28,Wimbledon,G,5,G,false,69,R32,Roger Federer,6,Switzerland,SUI,8,5,2274,Cameron Norrie,29,United Kingdom,GBR,34,-6,2027,6-4 6-4 5-7 6-4,,,
2021-06-28,Wimbledon,G,5,G,false,69,R64,Roger Federer,6,Switzerland,SUI,8,3,2271,Richard Gasquet,,France,FRA,56,-4,1936,7-6(1) 6-1 6-4,,,
2021-06-28,Wimbledon,G,5,G,false,69,R128,Roger Federer,6,Switzerland,SUI,8,1,2270,Adrian Mannarino,,France,FRA,41,-2,1839,6-4 6-7(3) 3-6 6-2 RET,RET,,
2021-06-14,Halle,A,3,G,false,80,R16,Felix Auger Aliassime,,Canada,CAN,21,16,1973,Roger Federer,5,Switzerland,SUI,8,-14,2284,4-6 6-3 6-2,,,
2021-06-14,Halle,A,3,G,false,80,R32,Roger Federer,5,Switzerland,SUI,8,1,2283,Ilya Ivashka,,Belarus,BLR,90,-2,1840,7-6(4) 7-5,,Q,
2021-05-30,Roland Garros,G,5,C,false,38,R16,Matteo Berrettini,9,Italy,ITA,9,10,2109,Roger Federer,8,Switzerland,SUI,8,-10,2293,W/O,W/O,,
2021-05-30,Roland Garros,G,5,C,false,38,R32,Roger Federer,8,Switzerland,SUI,8,3,2290,Dominik Koepfer,,Germany,GER,57,-2,1884,7-6(5) 6-7(3) 7-6(4) 7-5,,,
2021-05-30,Roland Garros,G,5,C,false,38,R64,Roger Federer,8,Switzerland,SUI,8,3,2287,Marin Cilic,,Croatia,CRO,47,-4,1971,6-2 2-6 7-6(4) 6-2,,,
2021-05-30,Roland Garros,G,5,C,false,38,R128,Roger Federer,8,Switzerland,SUI,8,1,2286,Denis Istomin,,Uzbekistan,UZB,203,-2,1737,6-2 6-4 6-3,,Q,
2021-05-16,Geneva,B,3,C,false,45,R16,Pablo Andujar,,Spain,ESP,76,30,1763,Roger Federer,1,Switzerland,SUI,8,-16,2302,6-4 4-6 6-4,,,
2021-03-08,Doha,B,3,H,false,67,QF,Nikoloz Basilashvili,,Georgia,GEO,42,24,1825,Roger Federer,2,Switzerland,SUI,6,-16,2318,3-6 6-1 7-5,,,
2021-03-08,Doha,B,3,H,false,67,R16,Roger Federer,2,Switzerland,SUI,6,2,2316,Daniel Evans,,United Kingdom,GBR,28,-2,1992,7-6(8) 3-6 7-5,,,
2020-01-20,Australian Open,G,5,H,false,71,SF,Novak Djokovic,2,Serbia,SRB,2,11,2402,Roger Federer,3,Switzerland,SUI,3,-12,2340,7-6(1) 6-4 6-3,,,
2020-01-20,Australian Open,G,5,H,false,71,QF,Roger Federer,3,Switzerland,SUI,3,3,2337,Tennys Sandgren,,United States,USA,100,-2,1934,6-3 2-6 2-6 7-6(8) 6-3,,,
2020-01-20,Australian Open,G,5,H,false,71,R16,Roger Federer,3,Switzerland,SUI,3,2,2335,Marton Fucsovics,,Hungary,HUN,67,-2,1932,4-6 6-1 6-2 6-2,,,
2020-01-20,Australian Open,G,5,H,false,71,R32,Roger Federer,3,Switzerland,SUI,3,3,2332,John Millman,,Australia,AUS,47,-3,1952,4-6 7-6(2) 6-4 4-6 7-6(8),,,
2020-01-20,Australian Open,G,5,H,false,71,R64,Roger Federer,3,Switzerland,SUI,3,3,2329,Filip Krajinovic,,Serbia,SRB,41,-3,1989,6-1 6-4 6-1,,,
2020-01-20,Australian Open,G,5,H,false,71,R128,Roger Federer,3,Switzerland,SUI,3,1,2328,Steve Johnson,,United States,USA,75,-2,1876,6-3 6-2 6-2,,,
2019-11-11,Tour Finals,F,3,H,true,98,SF,Stefanos Tsitsipas,6,Greece,GRE,6,18,2141,Roger Federer,3,Switzerland,SUI,3,-18,2346,6-3 6-4,,,
2019-11-11,Tour Finals,F,3,H,true,98,RR,Roger Federer,3,Switzerland,SUI,3,12,2334,Novak Djokovic,2,Serbia,SRB,2,-12,2371,6-4 6-3,,,
2019-11-11,Tour Finals,F,3,H,true,98,RR,Dominic Thiem,5,Austria,AUT,5,16,2185,Roger Federer,3,Switzerland,SUI,3,-16,2350,7-5 7-5,,,
2019-11-11,Tour Finals,F,3,H,true,98,RR,Roger Federer,3,Switzerland,SUI,3,4,2346,Matteo Berrettini,8,Italy,ITA,8,-4,2105,7-6(2) 6-3,,,
2019-10-21,Basel,A,3,H,true,85,F,Roger Federer,1,Switzerland,SUI,3,3,2343,Alex De Minaur,,Australia,AUS,28,-3,2020,6-2 6-2,,WC,
2019-10-21,Basel,A,3,H,true,85,SF,Roger Federer,1,Switzerland,SUI,3,5,2338,Stefanos Tsitsipas,3,Greece,GRE,7,-5,2116,6-4 6-4,,,
2019-10-21,Basel,A,3,H,true,85,QF,Roger Federer,1,Switzerland,SUI,3,1,2337,Stan Wawrinka,7,Switzerland,SUI,17,-2,2111,W/O,W/O,,
2019-10-21,Basel,A,3,H,true,85,R16,Roger Federer,1,Switzerland,SUI,3,2,2335,Radu Albot,,"Moldova, Republic of",MDA,49,-2,1904,6-0 6-3,,,
2019-10-21,Basel,A,3,H,true,85,R32,Roger Federer,1,Switzerland,SUI,3,1,2334,Peter Gojowczyk,,Germany,GER,112,-1,1843,6-2 6-1,,Q,
2019-10-07,Shanghai Masters,M,3,H,false,88,QF,Alexander Zverev,5,Germany,GER,6,17,2111,Roger Federer,2,Switzerland,SUI,3,-17,2351,6-3 6-7(7) 6-3,,,
2019-10-07,Shanghai Masters,M,3,H,false,88,R16,Roger Federer,2,Switzerland,SUI,3,4,2347,David Goffin,13,Belgium,BEL,14,-4,2122,7-6(7) 6-4,,,
2019-10-07,Shanghai Masters,M,3,H,false,88,R32,Roger Federer,2,Switzerland,SUI,3,2,2345,Albert Ramos,,Spain,ESP,46,-2,1956,6-2 7-6(5),,,
2019-08-26,US Open,G,5,H,false,61,QF,Grigor Dimitrov,,Bulgaria,BUL,78,26,2010,Roger Federer,3,Switzerland,SUI,3,-24,2369,3-6 6-4 3-6 6-4 6-2,,,
2019-08-26,US Open,G,5,H,false,61,R16,Roger Federer,3,Switzerland,SUI,3,5,2364,David Goffin,15,Belgium,BEL,15,-5,2112,6-2 6-2 6-0,,,
2019-08-26,US Open,G,5,H,false,61,R32,Roger Federer,3,Switzerland,SUI,3,2,2362,Daniel Evans,,United Kingdom,GBR,58,-3,1933,6-2 6-2 6-1,,,
2019-08-26,US Open,G,5,H,false,61,R64,Roger Federer,3,Switzerland,SUI,3,1,2361,Damir Dzumhur,,Bosnia and Herzegovina,BIH,99,-2,1850,3-6 6-2 6-3 6-4,,,
2019-08-26,US Open,G,5,H,false,61,R128,Roger Federer,3,Switzerland,SUI,3,,2361,Sumit Nagal,,India,IND,190,-1,1557,4-6 6-1 6-2 6-4,,,
2019-08-12,Cincinnati Masters,M,3,H,false,81,R16,Andrey Rublev,,Russian Federation,RUS,70,20,1953,Roger Federer,3,Switzerland,SUI,3,-18,2379,6-3 6-4,,,Q
2019-08-12,Cincinnati Masters,M,3,H,false,81,R32,Roger Federer,3,Switzerland,SUI,3,1,2378,Juan Ignacio Londero,,Argentina,ARG,55,-2,1884,6-3 6-4,,WC,
2019-07-01,Wimbledon,G,5,G,false,76,F,Novak Djokovic,1,Serbia,SRB,1,16,2394,Roger Federer,2,Switzerland,SUI,3,-16,2394,7-6(5) 1-6 7-6(4) 4-6 13-12,,,
2019-07-01,Wimbledon,G,5,G,false,76,SF,Roger Federer,2,Switzerland,SUI,3,17,2377,Rafael Nadal,3,Spain,ESP,2,-16,2422,7-6(3) 1-6 6-3 6-4,,,
