Tournament,Category
Australian Open,Grand Slam
Roland Garros,Grand Slam
Wimbledon,Grand Slam
US Open,Grand Slam
Tour Finals,WTF
Indian Wells Masters,1000
Miami Open,1000
Monte-Carlo Masters,1000
Madrid Open,1000
Italian Open,1000
Canadian Open,1000
Cincinnati Masters,1000
Shanghai Masters,1000
Paris Masters,1000
Rotterdam Open,500
Rio Open,500
Acapulco,500
Dubai Tennis Championships,500
Barcelona Open,500
Halle Open,500
Queen's Club Championships,500
German Open,500
Washington Open[2],500
Japan Open,500
China Open,500
Vienna Open,500
Swiss Indoors,500
Brisbane International,250
Maharashtra Open,250
Qatar Open,250
Auckland Open,250
Sydney International,250
Open Sud de France,250
Brasil Open,250
Delray Beach Open,250
Open 13,250
Argentina Open,250
Grand Prix Hassan II,250
US Men's Clay Court Championship,250
Bavaria Open,250
Estoril Open,250
Geneva Open,250
Rosmalen Open,250
Stuttgart Open,250
Eastbourne International,250
Mallorca Open,250
Hall of Fame Open,250
Swedish Open,250
Croatia Open,250
Atlanta Open,250
Swiss Open,250
Austrian Open,250
Winston-Salem Open,250
Moselle Open,250
Shenzhen Open,250
Stockholm Open,250
Kremlin Cup,250
Masters Cup,WTF
Aachen CH,Juniors
Adelaide,500
Aix En Provence CH,Juniors
Amersfoort,Juniors
Athens Olympics,Olympics
Atp Cup,Atp Cup
Auckland,250
Bangkok,250
Barcelona,500
Basel,500
Bastad,250
Beijing,500
Beijing Olympics,Olympics
Belgrade,250
Belgrade 2,250
Belgrade CH,Challengers
Bratislava CH,Challengers
Brisbane,250
Bucharest,250
Budapest CH,Challengers
Buenos Aires,250
Canada Masters,1000
Chennai,250
Cherbourg CH,Challengers
Copenhagen,250
Costa Do Sauipe,250
Croatia F1,Challengers
Croatia F2,Challengers
Davis Cup Finals F: CAN vs ESP,Davis Cup
Davis Cup Finals QF: ARG vs ESP,Davis Cup
Davis Cup Finals QF: SRB vs RUS,Davis Cup
Davis Cup Finals RR: CRO vs ESP,Davis Cup
Davis Cup Finals RR: ESP vs RUS,Davis Cup
Davis Cup Finals RR: FRA vs SRB,Davis Cup
Davis Cup Finals RR: SRB vs JPN,Davis Cup
Davis Cup Finals SF: GBR vs ESP,Davis Cup
Davis Cup G1 PO: DEN vs ESP,Davis Cup
Davis Cup G1 R1: ISR vs SCG,Davis Cup
Davis Cup G1 R1: SCG vs ZIM,Davis Cup
Davis Cup G1 R2: GBR vs SCG,Davis Cup
Davis Cup G1 R2: SCG vs BEL,Davis Cup
Davis Cup G1 R2: SRB vs GEO,Davis Cup
Davis Cup G1 R2: SUI vs POR,Davis Cup
Davis Cup G2 R1: SCG vs LAT,Davis Cup
Davis Cup WG F: ESP vs ARG,Davis Cup
Davis Cup WG F: ESP vs CZE,Davis Cup
Davis Cup WG F: ESP vs USA,Davis Cup
Davis Cup WG F: FRA vs SUI,Davis Cup
Davis Cup WG F: SRB vs CZE,Davis Cup
Davis Cup WG F: SRB vs FRA,Davis Cup
Davis Cup WG PO: AUS vs SUI,Davis Cup
Davis Cup WG PO: CZE vs SUI,Davis Cup
Davis Cup WG PO: ESP vs ITA,Davis Cup
Davis Cup WG PO: ESP vs UKR,Davis Cup
Davis Cup WG PO: ITA vs ESP,Davis Cup
Davis Cup WG PO: ITA vs SUI,Davis Cup
Davis Cup WG PO: MAR vs SUI,Davis Cup
Davis Cup WG PO: NED vs SUI,Davis Cup
Davis Cup WG PO: SRB vs AUS,Davis Cup
Davis Cup WG PO: SUI vs BEL,Davis Cup
Davis Cup WG PO: SUI vs BLR,Davis Cup
Davis Cup WG PO: SUI vs GBR,Davis Cup
Davis Cup WG PO: SUI vs NED,Davis Cup
Davis Cup WG PO: SUI vs SCG,Davis Cup
Davis Cup WG PO: SVK vs SRB,Davis Cup
Davis Cup WG QF: BEL vs SUI,Davis Cup
Davis Cup WG QF: CRO vs SRB,Davis Cup
Davis Cup WG QF: ESP vs GER,Davis Cup
Davis Cup WG QF: FRA vs SUI,Davis Cup
Davis Cup WG QF: GER vs ESP,Davis Cup
Davis Cup WG QF: SRB vs ESP,Davis Cup
Davis Cup WG QF: SUI vs FRA,Davis Cup
Davis Cup WG QF: SUI vs KAZ,Davis Cup
Davis Cup WG QF: USA vs SRB,Davis Cup
Davis Cup WG R1: BEL vs ESP,Davis Cup
Davis Cup WG R1: BEL vs SRB,Davis Cup
Davis Cup WG R1: CZE vs ESP,Davis Cup
Davis Cup WG R1: ESP vs SRB,Davis Cup
Davis Cup WG R1: NED vs SUI,Davis Cup
Davis Cup WG R1: ROU vs SUI,Davis Cup
Davis Cup WG R1: RUS vs SRB,Davis Cup
Davis Cup WG R1: RUS vs SUI,Davis Cup
Davis Cup WG R1: SRB vs CRO,Davis Cup
Davis Cup WG R1: SRB vs KAZ,Davis Cup
Davis Cup WG R1: SRB vs SUI,Davis Cup
Davis Cup WG R1: SRB vs USA,Davis Cup
Davis Cup WG R1: SUI vs AUS,Davis Cup
Davis Cup WG R1: SUI vs ITA,Davis Cup
Davis Cup WG R1: SUI vs USA,Davis Cup
Davis Cup WG SF: AUS vs SUI,Davis Cup
Davis Cup WG SF: ESP vs FRA,Davis Cup
Davis Cup WG SF: ESP vs USA,Davis Cup
Davis Cup WG SF: SRB vs ARG,Davis Cup
Davis Cup WG SF: SRB vs CAN,Davis Cup
Davis Cup WG SF: SRB vs CZE,Davis Cup
Davis Cup WG SF: SUI vs ITA,Davis Cup
Doha,250
Dubai,500
Eastbourne,250
Estoril,250
Freudenstadt CH,Challengers
Geneva,250
Geneva CH,Challengers
Germany F1A,Challengers
Gstaad,250
Halle,500
Hamburg,500
Hamburg Masters,500
Helsinki CH,Challengers
Hungary F1,Challengers
Hungary F2,Challengers
Indianapolis,250
Istanbul,250
Italy F4,Challengers
London,WTF
London Olympics,Olympics
Long Island,250
Lyon,250
Madrid Masters,1000
Manerbio CH,Challengers
Marseille,250
Metz,250
Miami Masters,1000
Milan,250
Monte Carlo Masters,1000
Monza CH,Challengers
Moscow,250
Munich,250
Nottingham,250
Palermo,250
Queen's Club,500
Rio de Janeiro,500
Rio Olympics,Olympics
Rome Masters,1000
Rotterdam,500
s Hertogenbosch,Challengers
San Remo CH,Challengers
Santiago,250
Sao Paulo,250
Segovia CH,Challengers
Serbia & Montenegro F2,Juniors
Serbia & Montenegro F3,Juniors
Serbia & Montenegro F4,Juniors
Serbia & Montenegro F5,Juniors
Serbia & Montenegro F6,Juniors
's-Hertogenbosch,Juniors
Sopot,Challengers
St. Jean De Luz CH,Challengers
St. Poelten,Challengers
Stockholm,250
Stuttgart,250
Stuttgart Masters,250
Switzerland 1 Masters 1,Juniors
Switzerland 1 Masters 2,Juniors
Switzerland 1 Masters 3,Juniors
Switzerland 1 Masters 4,Juniors
Switzerland 2 Masters 1,Juniors
Switzerland 2 Masters 2,Juniors
Switzerland 2 Masters 3,Juniors
Switzerland 2 Masters 4,Juniors
Sydney,250
Sydney Olympics,Olympics
Tashkent,250
Tokyo,500
Tokyo Olympics,Olympics
Toulouse,250
Umag,250
Valencia,250
Vienna,500
Washington,500
Zagreb,Challengers
Barletta CH,Challengers
Cagliari CH,Challengers
Besancon CH,Challengers
Cherbourg CH,Challengers
Belgrade CH,Challengers
Hamburg CH,Challengers
Spain F20,Juniors
Spain F19,Juniors
Barcelona CH,Juniors
Seville CH,Juniors
Spain F16,Juniors
Spain F15,Juniors
Spain F12,Juniors
Spain F11,Juniors
Spain F10,Juniors
Spain F7,Juniors
Spain F5,Juniors
Mallorca,Juniors
Spain 3 3,Juniors
Spain 3 4,Juniors
Spain 1 2,Juniors
Spain 1 4,Juniors
Spain 1 1,Juniors
Spain 1 3,Juniors
Spain 7 2,Juniors
Spain 7 1,Juniors
Spain 7 3,Juniors
Spain 7 4,Juniors
